Title,Year
The Rescue,2021
Downfall,2004
Wonder,2017
The Raid 2,2014
Frailty,2001
Triangle,2009
Missing,2023
Lilya 4-ever,2002
North by Northwest,1959
The Alpinist,2021
"I, Daniel Blake",2016
Henry V,1989
The Fault in Our Stars,2014
Princess Mononoke,1997
Official Secrets,2019
Patriots Day,2016
Singin' in the Rain,1952
Dungeons & Dragons: Honor Among Thieves,2023
Breaker Morant,1980
Battle Royale,2000
Mudbound,2017
The Man from Earth,2007
Corpus Christi,2019
Brawl in Cell Block 99,2017
The Nightingale,2018
Chinatown,1974
A Man Called Otto,2022
Everest,2015
Starred Up,2013
Control,2007
Finding Vivian Maier,2013
Crip Camp: A Disability Revolution,2020
The Iron Claw,2023
Bonnie and Clyde,1967
And Then We Danced,2019
Life Itself,2014
'71,2014
Shadow,2018
For Sama,2019
Ip Man 2,2010
Stuck in Love,2012
The Danish Girl,2015
The Apartment,1960
Cobain: Montage of Heck,2015
Till,2022
Arctic,2018
The Edge of Democracy,2019
How to Train Your Dragon 2,2014
The White Tiger,2021
Palmer,2021
A Good Person,2023
Wildlife,2018
